T          V        N   RS       MinV       MaxV
1355296487 1.798650 009 16.189250 1.798650 1.798950
1355296504 1.798450 007 12.591350 1.798450 1.798950
1355296510 1.798350 008 14.389700 1.798350 1.798950
1355296510 1.798450 009 16.188150 1.798350 1.798950
1355296536 1.798250 005 8.992150 1.798250 1.798650
1355296539 1.798150 006 10.790300 1.798150 1.798650
1355296547 1.798050 006 10.789700 1.798050 1.798450
1355296547 1.797950 007 12.587650 1.797950 1.798450
1355296550 1.797850 008 14.385500 1.797850 1.798450
1355296560 1.797950 009 16.183450 1.797850 1.798450
1355296589 1.798150 007 12.586350 1.797850 1.798250
1355296596 1.798350 007 12.586450 1.797850 1.798350
1355296597 1.798150 008 14.384600 1.797850 1.798350
1355296599 1.798250 008 14.384700 1.797850 1.798350
1355296625 1.798150 005 8.991050 1.798150 1.798350
1355296625 1.798250 006 10.789300 1.798150 1.798350
1355296652 1.798150 006 10.789300 1.798150 1.798350
1355296681 1.797850 004 7.192400 1.797850 1.798250
1355296693 1.798050 003 5.394050 1.797850 1.798150
1355296711 1.798150 004 7.192200 1.797850 1.798150
1355296731 1.798050 004 7.192100 1.797850 1.798150
1355296735 1.798150 005 8.990250 1.797850 1.798150
1355296751 1.798250 005 8.990650 1.798050 1.798250
1355296753 1.798150 005 8.990750 1.798050 1.798250
1355296770 1.798250 006 10.789000 1.798050 1.798250
1355296777 1.798150 006 10.789000 1.798050 1.798250
1355296792 1.798250 006 10.789200 1.798150 1.798250
1355296794 1.798350 007 12.587550 1.798150 1.798350
1355296831 1.798550 004 7.193300 1.798150 1.798550
1355296849 1.798650 004 7.193800 1.798250 1.798650
1355296852 1.798750 004 7.194300 1.798350 1.798750
1355296852 1.798650 005 8.992950 1.798350 1.798750
1355296875 1.798750 005 8.993350 1.798550 1.798750
1355296884 1.798850 006 10.792200 1.798550 1.798850
1355296894 1.798750 006 10.792400 1.798650 1.798850
1355296921 1.798850 004 7.195200 1.798750 1.798850
1355296930 1.798750 005 8.993950 1.798750 1.798850
1355296931 1.798850 006 10.792800 1.798750 1.798850
1355296945 1.798750 005 8.993950 1.798750 1.798850
